Date,Close,High,Low,Open,Volume
7/19/2010,1181.699951,1182.199951,1180,1181.699951,4
7/20/2010,1191.5,1191.5,1191.5,1191.5,8
7/21/2010,1191.599976,1194.5,1184.099976,1191.599976,24
7/22/2010,1195.5,1196,1194.400024,1195.5,79
7/23/2010,1187.699951,1198.599976,1187.699951,1187.699951,32
7/26/2010,1183,1183,1183,1183,37
7/27/2010,1158,1158,1158,1158,29
7/28/2010,1160.400024,1160.400024,1160.400024,1160.400024,206828
7/29/2010,1168.400024,1169.199951,1158.699951,1163.800049,54384
7/30/2010,1181.699951,1183.099976,1166,1168.199951,5466
8/2/2010,1183.400024,1191.800049,1174.699951,1183.400024,2504
8/3/2010,1185.199951,1190.5,1180,1185.199951,598
8/4/2010,1193.699951,1203,1186.300049,1186.300049,1068
8/5/2010,1197.199951,1199.300049,1190,1197.199951,214
8/6/2010,1203.400024,1211,1195.300049,1203.300049,347
8/9/2010,1200.699951,1209.5,1199.800049,1205.800049,658
8/10/2010,1196.199951,1206.5,1191,1196.199951,713
8/11/2010,1197.5,1208,1193,1197.5,351
8/12/2010,1214.800049,1215.5,1199,1214.800049,289
8/13/2010,1214.900024,1214.900024,1214.900024,1214.900024,138
8/16/2010,1224.5,1225.400024,1218,1224.5,252
8/17/2010,1226.599976,1227.400024,1224,1226.599976,84
8/18/2010,1229.699951,1231.599976,1218,1229.699951,169
8/19/2010,1233.800049,1237.599976,1228.800049,1233.800049,46
8/20/2010,1227.199951,1232.800049,1223,1227.199951,236
8/23/2010,1226.900024,1228.900024,1222.900024,1226.900024,56
8/24/2010,1231.800049,1234,1211.5,1231.800049,300
8/25/2010,1239.5,1240.699951,1230.699951,1239.5,298
8/26/2010,1235.400024,1243.300049,1235,1235.400024,104
8/27/2010,1236,1236,1236,1236,573
8/30/2010,1237.099976,1237.900024,1234,1237.099976,128
8/31/2010,1248.300049,1249.400024,1233,1248.300049,124
9/1/2010,1246.300049,1254.300049,1243.599976,1246.300049,41
9/2/2010,1251.5,1252.5,1246.900024,1251.5,100
9/3/2010,1249.199951,1249.199951,1240,1249.199951,3
9/7/2010,1257.300049,1258,1255.5,1257.300049,7
9/8/2010,1255.599976,1260.199951,1254.699951,1255.599976,27
9/9/2010,1248.900024,1256,1244.099976,1248.900024,9
9/10/2010,1244.5,1244.5,1244.5,1244.5,20
9/13/2010,1245.099976,1245.099976,1245.099976,1245.099976,18
9/14/2010,1269.699951,1272.400024,1253.400024,1269.699951,87
9/15/2010,1266.699951,1269.800049,1263.5,1266.599976,34
9/16/2010,1271.900024,1275.199951,1268.699951,1271.900024,37
9/17/2010,1275.599976,1279.599976,1273.800049,1275.599976,54
9/20/2010,1279,1282,1279,1279,27
9/21/2010,1272.400024,1289.800049,1271.800049,1272.400024,56
9/22/2010,1290.199951,1290.199951,1290.199951,1290.199951,17
9/23/2010,1294.300049,1294.300049,1289.400024,1294.300049,45
9/24/2010,1296,1297.400024,1294.199951,1296,37
9/27/2010,1296.699951,1296.699951,1296.699951,1296.699951,67
9/28/2010,1306.599976,1308.599976,1287.5,1287.5,25190
9/29/2010,1308.5,1312.5,1305,1309.400024,6745
9/30/2010,1307.800049,1315.199951,1295.699951,1307.199951,579
10/1/2010,1316.099976,1320,1309,1309,153
10/4/2010,1315.400024,1319.099976,1312,1318.300049,95
10/5/2010,1338.900024,1341.099976,1312.900024,1312.900024,197
10/6/2010,1346.400024,1349,1339,1339.099976,215
10/7/2010,1333.900024,1363,1325.699951,1347.900024,261
10/8/2010,1344.199951,1348.400024,1325,1333.5,80
10/11/2010,1353.300049,1353.699951,1344,1346.699951,79
10/12/2010,1345.699951,1352.199951,1343.599976,1346.900024,112
10/13/2010,1369.5,1374,1355.099976,1356.400024,251
10/14/2010,1376.699951,1383.900024,1371.300049,1372.800049,106
10/15/2010,1371.099976,1382.400024,1364.699951,1379.199951,170
10/18/2010,1371.199951,1372.599976,1358,1358,46
10/19/2010,1335.099976,1370.5,1328.5,1366.800049,301
10/20/2010,1343.300049,1345.800049,1334.199951,1336,148
10/21/2010,1324.699951,1346.199951,1317.5,1344.199951,102
10/22/2010,1324.400024,1328.099976,1319,1326.699951,113
10/25/2010,1338.300049,1349.099976,1333.099976,1333.599976,194
10/26/2010,1338,1341.199951,1328.300049,1341.199951,195
10/27/2010,1322.199951,1341,1321.099976,1341,106
10/28/2010,1342.099976,1343.599976,1325.900024,1327.900024,192
10/29/2010,1357.099976,1358.699951,1336.800049,1340.199951,74
11/1/2010,1350.199951,1360.300049,1350.699951,1360.300049,40
11/2/2010,1356.400024,1356.800049,1355.5,1356.800049,17
11/3/2010,1337.099976,1359.199951,1327.5,1351.400024,135
11/4/2010,1382.699951,1392.5,1368.599976,1368.599976,109
11/5/2010,1397.300049,1398,1378.199951,1390.699951,109
11/8/2010,1402.800049,1409.199951,1387.099976,1390.5,112
11/9/2010,1409.800049,1423.199951,1382.900024,1405.199951,84
11/10/2010,1399.099976,1408.099976,1384,1395.199951,29
11/11/2010,1403.099976,1413.5,1397.300049,1400.699951,26
11/12/2010,1365.400024,1407.900024,1360.099976,1407.900024,182
11/15/2010,1368.400024,1372.599976,1355.300049,1363.699951,46
11/16/2010,1338.300049,1358.199951,1329.5,1356.5,67
11/17/2010,1336.800049,1341.800049,1331.300049,1336.900024,50
11/18/2010,1352.900024,1353.199951,1347.699951,1349.5,17
11/19/2010,1352.199951,1352,1344.5,1350.699951,7
11/22/2010,1357.699951,1357.699951,1357.699951,1357.699951,7
11/23/2010,1377.5,1377.5,1364.5,1369.400024,15
11/24/2010,1372.900024,1377.800049,1377.800049,1377.800049,3
11/26/2010,1362.300049,1372.099976,1372.099976,1372.099976,138416
11/29/2010,1366,1369.300049,1352.599976,1364,94486
11/30/2010,1385,1390.099976,1362.800049,1366.699951,11370
12/1/2010,1387.300049,1396.599976,1382.300049,1386.800049,4759
12/2/2010,1388.5,1398.599976,1383.300049,1387.599976,1550
12/3/2010,1405.400024,1415.099976,1385.099976,1385.099976,2341
12/6/2010,1415.300049,1428.400024,1410,1414,833
12/7/2010,1408.300049,1431.099976,1398,1424.5,866
12/8/2010,1382.5,1403.800049,1372,1402.5,1675
12/9/2010,1392.099976,1394.199951,1380.5,1380.599976,971
12/10/2010,1384.300049,1392,1373.099976,1388.900024,457
12/13/2010,1397.300049,1399.199951,1384.5,1384.5,193
12/14/2010,1403.599976,1407.300049,1391.800049,1401.900024,431
12/15/2010,1385.5,1394,1379.5,1394,215
12/16/2010,1370.400024,1385,1362.5,1380.900024,228
12/17/2010,1378.599976,1378.599976,1365.900024,1376.400024,102
12/20/2010,1385.5,1386.699951,1376.5,1383.199951,125
12/21/2010,1388.199951,1389.5,1381.5,1385.800049,113
12/22/2010,1386.800049,1389.5,1385,1388,58
12/23/2010,1380,1388.400024,1373.699951,1388.400024,101
12/27/2010,1382.400024,1384.199951,1373.5,1373.5,322
12/28/2010,1405.199951,1406.699951,1389.800049,1389.800049,519
12/29/2010,1413.099976,1412.199951,1402.900024,1403.400024,413
12/30/2010,1405.599976,1413.800049,1403.099976,1413.800049,185
12/31/2010,1421.099976,1421.099976,1405.699951,1405.699951,54
1/3/2011,1422.599976,1423.900024,1413.699951,1415.599976,28
1/4/2011,1378.5,1410.900024,1375.800049,1409.599976,122
1/5/2011,1373.400024,1384,1364.199951,1383.400024,175
1/6/2011,1371.400024,1376.5,1368.900024,1374.800049,158
1/7/2011,1368.5,1377.199951,1355.5,1372.699951,225
1/10/2011,1373.699951,1374,1365.699951,1369,181
1/11/2011,1384,1384.5,1373.900024,1375.400024,13
1/12/2011,1385.699951,1385.5,1378,1382.599976,204
1/13/2011,1386.900024,1392.5,1371.400024,1386.099976,66
1/14/2011,1360.400024,1376,1356.699951,1375,252
1/18/2011,1368.099976,1371,1359.199951,1365.099976,106
1/19/2011,1370.199951,1376.199951,1367,1371.900024,40
1/20/2011,1346.5,1367.699951,1345,1367.699951,10
1/21/2011,1341,1345.599976,1338.599976,1341.699951,20
1/24/2011,1344.5,1352.300049,1341.800049,1352.300049,2
1/25/2011,1332.300049,1331.5,1323.599976,1330.400024,394
1/26/2011,1333,1341.699951,1333,1333,4
1/27/2011,1318.400024,1342,1318.400024,1342,210699
1/28/2011,1340.699951,1346.599976,1307.699951,1314,73023
1/31/2011,1333.800049,1345.900024,1323.300049,1339,13657
2/1/2011,1339.599976,1342.900024,1325.300049,1333.099976,3180
2/2/2011,1331.5,1344,1327,1344,1363
2/3/2011,1352.300049,1355.800049,1324.900024,1335.599976,1865
2/4/2011,1348.300049,1360,1345,1354.800049,591
2/7/2011,1347.599976,1353.800049,1343.800049,1345.800049,1004
2/8/2011,1363.400024,1367,1350,1351.199951,2536
2/9/2011,1364.800049,1366.5,1359.599976,1362.800049,146
2/10/2011,1361.900024,1364.5,1351.699951,1364.300049,312
2/11/2011,1359.900024,1368.800049,1355.199951,1364,488
2/14/2011,1364.599976,1365.599976,1356.599976,1357.800049,181
2/15/2011,1373.599976,1376,1361.599976,1361.599976,321
2/16/2011,1374.699951,1382,1370.5,1373.599976,156
2/17/2011,1384.699951,1384.699951,1377,1377.699951,113
2/18/2011,1388.199951,1391.800049,1381.800049,1384.099976,98
2/22/2011,1400.5,1408.699951,1395.099976,1395.099976,430
2/23/2011,1413.400024,1413.800049,1397.800049,1397.800049,318
2/24/2011,1415.300049,1415.300049,1408.300049,1415.099976,809
2/25/2011,1408.699951,1411,1401,1401.699951,352
2/28/2011,1409.300049,1415.699951,1407.699951,1410.699951,205
3/1/2011,1430.699951,1434.400024,1415.300049,1415.300049,116
3/2/2011,1437.199951,1440.5,1428.800049,1432.5,1600
3/3/2011,1416,1432.300049,1415.900024,1432.300049,244
3/4/2011,1428.199951,1429.800049,1416.800049,1418.900024,60
3/7/2011,1434.099976,1445,1429.5,1434.5,613
3/8/2011,1426.900024,1432.599976,1424.300049,1431.599976,198
3/9/2011,1429.300049,1435.699951,1426.099976,1430,98
3/10/2011,1412.199951,1429.800049,1403.800049,1429.5,23
3/11/2011,1421.5,1422.599976,1404.900024,1413.699951,23
3/14/2011,1424.599976,1427.699951,1420,1420,58
3/15/2011,1392.599976,1413.300049,1385.5,1413.300049,20
3/16/2011,1396,1404.199951,1394.300049,1398,38
3/17/2011,1404,1393.599976,1387.699951,1387.699951,27
3/18/2011,1415.900024,1419.300049,1406.400024,1406.400024,6
3/21/2011,1426.199951,1433.5,1430.800049,1433.5,43
3/22/2011,1427.5,1430.400024,1430.400024,1430.400024,85
3/23/2011,1437.900024,1439.699951,1432.199951,1432.199951,19
3/24/2011,1434.800049,1446.900024,1437.5,1437.699951,27
3/25/2011,1426.099976,1436,1436,1436,1
3/28/2011,1419.800049,1415.599976,1413.199951,1413.199951,6
3/29/2011,1416,1416,1416,1416,135792
3/30/2011,1423.800049,1430.300049,1412,1418.699951,47011
3/31/2011,1438.900024,1440,1420.699951,1423.300049,8230
4/1/2011,1428.099976,1436.5,1413,1433.400024,5318
4/4/2011,1432.199951,1439.099976,1428.800049,1429.099976,683
4/5/2011,1451.800049,1457.599976,1430.300049,1437.900024,2609
4/6/2011,1457.699951,1462.300049,1452,1456.900024,901
4/7/2011,1458.5,1462.5,1453.900024,1459.699951,229
4/8/2011,1473.400024,1475.5,1457.5,1457.599976,1407
4/11/2011,1467.400024,1476,1459.699951,1476,378
4/12/2011,1452.900024,1467.199951,1444.400024,1461.800049,345
4/13/2011,1454.900024,1462,1454,1455,197
4/14/2011,1471.699951,1476,1452.699951,1456.800049,535
4/15/2011,1485.300049,1487.5,1473.199951,1477.599976,293
4/18/2011,1492.300049,1497.300049,1477.5,1486.300049,650
4/19/2011,1494.5,1499.5,1489,1493.300049,168
4/20/2011,1498.300049,1505.300049,1494,1494,386
4/21/2011,1503.199951,1508.300049,1501.699951,1503.699951,237
4/25/2011,1508.599976,1518,1502.800049,1513.300049,233
4/26/2011,1503,1506.300049,1495,1501.5,223
4/27/2011,1516.699951,1512.800049,1505.199951,1507.099976,460
4/28/2011,1530.800049,1536,1526.599976,1528.599976,425
4/29/2011,1556,1568.699951,1537.300049,1538.699951,124
5/2/2011,1556.699951,1576.599976,1543.099976,1572.900024,200
5/3/2011,1540.099976,1547,1527.5,1542.5,246
5/4/2011,1514.900024,1539,1506.199951,1535,272
5/5/2011,1480.900024,1520.699951,1471,1514.699951,133
5/6/2011,1491.199951,1494.800049,1472.300049,1473.199951,144
5/9/2011,1502.900024,1512.800049,1501.300049,1501.5,44
5/10/2011,1516.599976,1516.900024,1508.400024,1508.400024,13
5/11/2011,1501.099976,1524.099976,1495.199951,1524,30
5/12/2011,1506.599976,1498.5,1484.800049,1492.099976,11
5/13/2011,1493.400024,1511.300049,1490.199951,1503.5,16
5/16/2011,1490.400024,1494.900024,1489.300049,1489.300049,10
5/17/2011,1479.800049,1491.800049,1473,1489.800049,41
5/18/2011,1495.599976,1497,1496.300049,1496.400024,82
5/19/2011,1492.199951,1491.5,1491.5,1491.5,1
5/20/2011,1508.800049,1512.699951,1488.699951,1499,93
5/23/2011,1515.300049,1512.300049,1507,1510.5,42
5/24/2011,1523.199951,1527.099976,1521.900024,1527.099976,4
5/25/2011,1526.599976,1527.5,1526.099976,1526.400024,10
5/26/2011,1522.800049,1521.199951,1519.5,1521.199951,186986
5/27/2011,1536.300049,1538.5,1518.400024,1519.400024,76719
5/31/2011,1535.900024,1541.099976,1532.400024,1536.699951,6152
6/1/2011,1542.400024,1550.599976,1529.699951,1535.699951,2845
6/2/2011,1532,1544.5,1520,1541.300049,1651
6/3/2011,1541.699951,1546.300049,1525,1534.699951,1745
6/6/2011,1546.5,1553.900024,1542,1542.900024,691
6/7/2011,1543.300049,1549.900024,1537.199951,1545,2530
6/8/2011,1538.099976,1544.199951,1531.300049,1544.199951,489
6/9/2011,1542.099976,1548.800049,1534.400024,1536.099976,288
6/10/2011,1528.599976,1543.900024,1526.400024,1543.699951,632
6/13/2011,1515,1533,1511.300049,1528.099976,851
6/14/2011,1523.800049,1526.199951,1513.099976,1517.199951,306
6/15/2011,1525.599976,1533.400024,1515,1525,648
6/16/2011,1529.300049,1531.199951,1522,1526,164
6/17/2011,1538.599976,1541.599976,1523,1523,72
6/20/2011,1541.5,1545.699951,1535.199951,1536,99
6/21/2011,1546,1547.5,1540,1540.099976,125
6/22/2011,1552.900024,1558.5,1544.400024,1547.199951,222
6/23/2011,1520.099976,1547.199951,1514.699951,1547.199951,300
6/24/2011,1500.5,1525,1498.5,1524.699951,257
6/27/2011,1496,1503.5,1490.699951,1503.5,140
6/28/2011,1499.699951,1505,1496.099976,1499.900024,508
6/29/2011,1509.900024,1512.199951,1504.099976,1504.099976,395
6/30/2011,1502.300049,1514,1498.800049,1511.5,69
7/1/2011,1482.300049,1502.199951,1480,1502.199951,66
7/5/2011,1512.300049,1515,1490.300049,1490.400024,199
7/6/2011,1528.699951,1531.5,1510.300049,1513.699951,71
7/7/2011,1530.199951,1533.099976,1522.699951,1529.099976,55
7/8/2011,1541.199951,1542.599976,1526.599976,1527,3
7/11/2011,1548.800049,1555.199951,1543.099976,1550,14
7/12/2011,1561.900024,1565,1542,1548.199951,8
7/13/2011,1585.199951,1585.599976,1570.800049,1574,29
7/14/2011,1589,1592.800049,1583.599976,1586.300049,19
7/15/2011,1589.800049,1592.199951,1582.300049,1582.300049,8
7/18/2011,1602.099976,1605,1592.800049,1592.800049,13
7/19/2011,1600.900024,1608.800049,1583.300049,1608.099976,63
7/20/2011,1596.699951,1596.699951,1582.400024,1584.300049,9
7/21/2011,1586.800049,1601.599976,1586.599976,1598,24
7/22/2011,1601.300049,1606.5,1588.5,1588.5,12
7/25/2011,1612,1619.400024,1610,1610,67
7/26/2011,1616.599976,1618.5,1609.800049,1609.800049,28
7/27/2011,1615,1619.699951,1617,1619.699951,232220
7/28/2011,1613.400024,1620.599976,1602.800049,1614.199951,70263
7/29/2011,1628.300049,1634.900024,1610.599976,1617.099976,6761
8/1/2011,1619,1631.800049,1607,1623,2889
8/2/2011,1641.900024,1660.599976,1616.800049,1619.300049,2440
8/3/2011,1663.400024,1672.300049,1651.599976,1659.900024,2024
8/4/2011,1656.199951,1681.800049,1640,1660.5,1952
8/5/2011,1648.800049,1666.099976,1642.699951,1647.5,825
8/8/2011,1710.199951,1720,1678.099976,1679.099976,1885
8/9/2011,1740,1779,1720.099976,1722.5,1861
8/10/2011,1781.300049,1795.599976,1741.300049,1744,969
8/11/2011,1748.800049,1813.5,1733.300049,1795.099976,1503
8/12/2011,1740.199951,1764.199951,1723.800049,1760.599976,1166
8/15/2011,1755.5,1765.199951,1730.5,1734.900024,976
8/16/2011,1782.400024,1787.300049,1761.599976,1769,278
8/17/2011,1791.199951,1794.300049,1782,1784.800049,231
8/18/2011,1818.900024,1828.5,1785.5,1786.5,868
8/19/2011,1848.900024,1874.400024,1823.699951,1823.699951,328
8/22/2011,1888.699951,1895,1858.400024,1868.599976,1106
8/23/2011,1858.300049,1909.300049,1824.599976,1909,458
8/24/2011,1754.099976,1853.099976,1753.099976,1833,992
8/25/2011,1759.800049,1772.5,1707.300049,1748.400024,864
8/26/2011,1794.099976,1829.300049,1768.5,1768.5,270
8/29/2011,1788.400024,1817.900024,1786.699951,1817.900024,828
8/30/2011,1826.699951,1839.599976,1783.099976,1787.199951,598
8/31/2011,1828.5,1837.900024,1811.400024,1830.599976,336
9/1/2011,1826,1829.5,1814.400024,1825.800049,263
9/2/2011,1873.699951,1884.199951,1828.599976,1828.599976,442
9/6/2011,1869.900024,1911.599976,1864,1886.300049,536
9/7/2011,1814.199951,1873.699951,1792.800049,1868.900024,470
9/8/2011,1854.400024,1870,1835,1839.300049,142
9/9/2011,1856.400024,1881.300049,1830,1858.099976,188
9/12/2011,1809.900024,1852.400024,1806,1852.400024,245
9/13/2011,1826.800049,1835.300049,1808.099976,1817.800049,52
9/14/2011,1823.5,1843,1809,1843,156
9/15/2011,1778.5,1816.300049,1775.800049,1816.300049,80
9/16/2011,1812.099976,1819.099976,1768.5,1768.5,111
9/19/2011,1776.400024,1818.900024,1788,1814.699951,13
9/20/2011,1806.599976,1807.800049,1776,1778.800049,86
9/21/2011,1805.5,1811.699951,1782.800049,1808,22
9/22/2011,1739.199951,1773.199951,1730.900024,1773.199951,23
9/23/2011,1637.5,1737.300049,1636.300049,1737.300049,81
9/26/2011,1592.5,1661.800049,1562.400024,1646.400024,151
9/27/2011,1650.599976,1665.400024,1653.699951,1653.800049,47
9/28/2011,1616.300049,1650,1650,1650,21275
9/29/2011,1615.5,1633.800049,1585,1604,7181
9/30/2011,1620.400024,1639.400024,1609.400024,1620.800049,284
10/3/2011,1656,1660.800049,1627.599976,1627.800049,101
10/4/2011,1614.699951,1678.099976,1596.599976,1661,159
10/5/2011,1640.300049,1640.300049,1599.599976,1629.300049,114
10/6/2011,1651.900024,1654.699951,1637.599976,1642.599976,38
10/7/2011,1634.5,1665,1626.199951,1657,66
10/10/2011,1669.599976,1676.800049,1645.599976,1645.599976,61
10/11/2011,1659.699951,1685,1657.599976,1685,151
10/12/2011,1681.300049,1691,1667.099976,1667.099976,37
10/13/2011,1667.300049,1678.800049,1656.199951,1676.099976,148
10/14/2011,1681.800049,1683.300049,1665.800049,1665.800049,51
10/17/2011,1675.5,1693.5,1667.300049,1683.599976,41
10/18/2011,1651.699951,1666,1627.5,1666,85
10/19/2011,1646,1659.300049,1641.300049,1659.300049,22
10/20/2011,1611.900024,1643.199951,1608.699951,1643.199951,92
10/21/2011,1635.099976,1647.400024,1626.099976,1626.099976,32
10/24/2011,1651.5,1657.800049,1646.199951,1646.199951,313
10/25/2011,1699.599976,1706.800049,1645,1645,355
10/26/2011,1722.699951,1723.599976,1708.900024,1717,135
10/27/2011,1746.699951,1735.5,1717.800049,1717.800049,494
10/28/2011,1746.199951,1752,1733,1752,158
10/31/2011,1724.199951,1741.900024,1717,1741.900024,62
11/1/2011,1711,1720.099976,1682.5,1706.699951,246
11/2/2011,1728.699951,1741.400024,1723.199951,1724.300049,294
11/3/2011,1764.199951,1766,1726.599976,1740.5,290
