,y,x,intercept,coef,R2
0,return_001d,rate_up_market_count,0.0035960243013130762,[-0.00164461],1.813521696503173e-05
32,return_001d,Volume,0.0024529471035515714,[-2.47743712e-14],0.00025733733889032884
32,return_001d,btc_sentiment,0.006650246824561999,[-0.00617211],0.000121391175402219
24,return_001d,Open,0.0026715877655272406,[-2.79585341e-08],0.0006329151539554712
0,return_001d,price_vs_ma,0.0019434360978764055,[0.00774527],0.004768715633654552
16,return_001d,Low,0.0026807407948291058,[-2.89086652e-08],0.0006524092964359518
8,return_001d,mvrv_zscore,0.003243771027889674,[0.00163697],0.0021927416435972846
8,return_001d,High,0.002678661456684169,[-2.76645716e-08],0.0006410263190006482
16,return_001d,mvrv_gradient,0.003637845397645436,[0.00322748],0.001959218749135627
40,return_001d,PIC,0.002687552694439112,[3.93789318e-08],0.0007283914098338284
0,return_001d,Close,0.002686081924443937,[-2.84718173e-08],0.0006569598060257587
24,return_001d,mvrv_acceleration,0.003535259702808304,[0.00122446],0.000252794080571328
88,return_001d,FeeTotNtv_ma7_ma30,0.003575559895480104,[-0.00070045],2.2342822408760732e-05
32,return_001d,mvrv_zone,0.003559138899606334,[0.00258639],0.0019460747243625898
80,return_001d,AdrBalCnt_ma7_ma30,0.0032172670023764205,[0.02449924],0.00019449566969931276
40,return_001d,mvrv_volatility,0.0014559926406787242,[0.00401442],0.000760582298083512
72,return_001d,TxTfrCnt_ma7_ma30,0.0034397306897532916,[0.0090472],0.0006644080281918985
64,return_001d,HashRate_ma7_ma30,0.001991045544656793,[0.02623706],0.004317028212884155
48,return_001d,signal_confidence,0.01676767667393697,[-0.01551097],0.0014296563283260344
96,return_001d,price_ma7_ma30,0.0025413429896501607,[0.03265475],0.009208730275344301
24,return_001d,rate_down_volume_z_exp,0.003593029361282065,[-0.0636736],4.235313766232096e-05
56,return_001d,polymarket_sentiment,0.006650246824561999,[-0.00617211],0.000121391175402219
16,return_001d,rate_up_volume_z_exp,0.0035949502997917543,[-0.07452114],7.321551708017182e-05
48,return_001d,RSI,-0.005000438290466978,[0.00013061],0.0027604940027380342
8,return_001d,rate_down_market_count,0.003602941352726749,[-0.00123347],5.7816230548457526e-05
64,return_001d,Mayer_multiple,-0.0014325499658022999,[0.00296607],0.001612284877928527
56,return_001d,ATR,0.0026107391741422665,[-6.25184013e-07],0.0005138339669181757
1,return_007d,price_vs_ma,0.003880631787401289,[0.10694705],0.09691025012648213
41,return_007d,mvrv_volatility,0.008026422038050457,[0.03479472],0.006102957920512853
17,return_007d,Low,0.015232575243129242,[-6.86016002e-08],0.0005039687388858072
65,return_007d,Mayer_multiple,-0.05641933232205068,[0.06185902],0.09619594550949395
57,return_007d,polymarket_sentiment,0.024316734792168313,[0.00415698],5.870541207819713e-06
9,return_007d,mvrv_zscore,0.020313996097042195,[0.03002091],0.07862667086385977
81,return_007d,AdrBalCnt_ma7_ma30,0.02260455338386093,[0.26024409],0.002339743652835624
9,return_007d,High,0.015361307044959036,[-7.04983045e-08],0.0005710266136031983
57,return_007d,ATR,0.01863041390216292,[-4.69104345e-06],0.003968414578827462
17,return_007d,mvrv_gradient,0.027144011831005975,[0.038109],0.02912241896849954
89,return_007d,FeeTotNtv_ma7_ma30,0.02634610840035507,[0.01475795],0.001057403391122036
73,return_007d,TxTfrCnt_ma7_ma30,0.024325502715324347,[0.13952789],0.01684729152104647
25,return_007d,mvrv_acceleration,0.025780224748907492,[0.01895091],0.006455884942258239
25,return_007d,Open,0.015689947023191875,[-8.40760176e-08],0.0007851127091286214
65,return_007d,HashRate_ma7_ma30,0.01224650152170034,[0.23447732],0.036758521669874034
33,return_007d,btc_sentiment,0.024316734792168313,[0.00415698],5.870541207819713e-06
17,return_007d,rate_up_volume_z_exp,0.026501420711241782,[-0.42463683],0.00025345246281482936
1,return_007d,rate_up_market_count,0.026584408939619185,[-0.0182385],0.0002377891523129838
33,return_007d,Volume,0.014331371983216054,[-4.21490484e-14],0.00010217487518560109
49,return_007d,signal_confidence,0.134707173455372,[-0.12733834],0.01027244723792442
97,return_007d,price_ma7_ma30,0.00937191732717876,[0.53849245],0.2669694957620623
49,return_007d,RSI,-0.22118283463233485,[0.00443012],0.43565571109212753
9,return_007d,rate_down_market_count,0.02652195740737562,[-0.00557433],0.00012589141163066309
25,return_007d,rate_down_volume_z_exp,0.02645394097167714,[-0.15628134],2.720183347415528e-05
41,return_007d,PIC,0.019100715792627572,[2.90064363e-07],0.005421216434259191
33,return_007d,mvrv_zone,0.025976533705125274,[0.05241767],0.08522002037142384
1,return_007d,Close,0.015026139967495751,[-5.94631999e-08],0.0003930755385599394
90,return_014d,FeeTotNtv_ma7_ma30,0.05650450885523521,[0.06045083],0.0061778407430528315
26,return_014d,mvrv_acceleration,0.054582736488332236,[0.06632149],0.027535292124667987
42,return_014d,PIC,0.03923876053848316,[6.04190483e-07],0.010598502974834334
82,return_014d,AdrBalCnt_ma7_ma30,0.045290990429728825,[0.7831943],0.007378854048403327
